COUNTRY,Country,SEX,Sex,AGE,Age,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
FIN,Finland,WOMEN,Women,900000,Total,A,Annual,2017,2017,MONTH,Months,0,Units,,,9.3224278870668,,
FRA,France,MW,All persons,1519,15 to 19,A,Annual,2017,2017,MONTH,Months,0,Units,,,5.82829502193823,,
FRA,France,MW,All persons,1524,15 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,8.51884489174011,,
FRA,France,MW,All persons,2024,20 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,9.38849240800606,,
FRA,France,MW,All persons,2554,25 to 54,A,Annual,2017,2017,MONTH,Months,0,Units,,,15.9730100104142,,
FRA,France,MW,All persons,5599,55,A,Annual,2017,2017,MONTH,Months,0,Units,,,25.9763073438395,,
FRA,France,MW,All persons,900000,Total,A,Annual,2017,2017,MONTH,Months,0,Units,,,15.4536162053689,,
FRA,France,MEN,Men,1519,15 to 19,A,Annual,2017,2017,MONTH,Months,0,Units,,,5.69999980926513,,
FRA,France,MEN,Men,1524,15 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,8.87595329170325,,
FRA,France,MEN,Men,2024,20 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,9.89999961853027,,
FRA,France,MEN,Men,2554,25 to 54,A,Annual,2017,2017,MONTH,Months,0,Units,,,17.1794175827066,,
FRA,France,MEN,Men,5599,55,A,Annual,2017,2017,MONTH,Months,0,Units,,,27.6143645985637,,
FRA,France,MEN,Men,900000,Total,A,Annual,2017,2017,MONTH,Months,0,Units,,,16.4363527922339,,
FRA,France,WOMEN,Women,1519,15 to 19,A,Annual,2017,2017,MONTH,Months,0,Units,,,6,,
FRA,France,WOMEN,Women,1524,15 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,8.03884315964459,,
FRA,France,WOMEN,Women,2024,20 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,8.69999980926513,,
FRA,France,WOMEN,Women,2554,25 to 54,A,Annual,2017,2017,MONTH,Months,0,Units,,,14.7527260969338,,
FRA,France,WOMEN,Women,5599,55,A,Annual,2017,2017,MONTH,Months,0,Units,,,23.8759683245014,,
FRA,France,WOMEN,Women,900000,Total,A,Annual,2017,2017,MONTH,Months,0,Units,,,14.3683676267558,,
HUN,Hungary,MW,All persons,1519,15 to 19,A,Annual,2017,2017,MONTH,Months,0,Units,,,6.78553776649237,,
HUN,Hungary,MW,All persons,1524,15 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,7.46547989147803,,
HUN,Hungary,MW,All persons,2024,20 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,7.66316026998677,,
HUN,Hungary,MW,All persons,2554,25 to 54,A,Annual,2017,2017,MONTH,Months,0,Units,,,16.4833699341895,,
HUN,Hungary,MW,All persons,5599,55,A,Annual,2017,2017,MONTH,Months,0,Units,,,25.3344137962957,,
HUN,Hungary,MW,All persons,900000,Total,A,Annual,2017,2017,MONTH,Months,0,Units,,,15.9569031001153,,
HUN,Hungary,MEN,Men,1519,15 to 19,A,Annual,2017,2017,MONTH,Months,0,Units,,,9.05099964141845,,
HUN,Hungary,MEN,Men,1524,15 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,8.69451163460494,,
HUN,Hungary,MEN,Men,2024,20 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,8.57699966430664,,
